Event,Time,Date,TimeStamp [ms],ADC1,ADC2,SiPM [mV],Temp [C],Presure [Pa],DeadTime [us],Coincident
1,15:48:15,6/11/21,356,966,274,53.18,21.78,102455.48,50546,0
2,15:48:15,6/11/21,410,98,8,6.54,21.78,102455.48,5913,0
3,15:48:15,6/11/21,445,568,9,13.62,21.78,102455.48,1845,0
4,15:48:15,6/11/21,496,70,8,5.98,21.78,102455.48,1847,0
5,15:48:15,6/11/21,765,961,157,40.36,21.78,102455.48,52388,0
6,15:48:16,6/11/21,1659,165,8,8.43,21.78,102456.15,52388,0
7,15:48:18,6/11/21,3059,640,10,14.71,21.78,102457.32,52388,0
8,15:48:18,6/11/21,3626,310,8,11.19,21.78,102457.48,52394,0
9,15:48:18,6/11/21,3838,460,8,12.55,21.77,102457.11,3788,0
10,15:48:19,6/11/21,4190,422,9,12.36,21.77,102457.11,1846,0
11,15:48:19,6/11/21,4488,553,7,13.17,21.77,102457.27,1849,0
12,15:48:20,6/11/21,5485,394,9,12.13,21.77,102457.44,52390,0
13,15:48:21,6/11/21,6775,112,7,6.92,21.77,102457.78,102935,0
14,15:48:22,6/11/21,7767,560,9,13.52,21.77,102458.11,52391,0
15,15:48:23,6/11/21,8207,956,171,42.27,21.77,102458.11,1850,0
16,15:48:23,6/11/21,8863,204,8,9.39,21.77,102458.28,54385,0
17,15:48:24,6/11/21,9056,930,138,37.28,21.77,102458.28,1846,1
18,15:48:24,6/11/21,9062,763,24,19.09,21.77,102458.28,1850,0
19,15:48:24,6/11/21,9565,358,8,11.74,21.77,102457.87,52389,0
20,15:48:24,6/11/21,9933,171,9,8.6,21.77,102458.03,2590,0
21,15:48:24,6/11/21,9960,708,13,16.01,21.77,102458.03,1847,0
22,15:48:25,6/11/21,10117,678,11,15.27,21.77,102458.2,1848,0
23,15:48:25,6/11/21,10411,944,143,38.14,21.77,102458.2,3931,0
24,15:48:25,6/11/21,10717,461,9,12.64,21.77,102458.38,52393,0
25,15:48:26,6/11/21,11126,562,10,13.68,21.77,102458.53,1854,0
26,15:48:26,6/11/21,11445,915,118,33.52,21.77,102458.53,1850,1
27,15:48:26,6/11/21,11661,538,9,13.27,21.77,102458.7,52391,0
28,15:48:28,6/11/21,13165,889,95,29.02,21.77,102458.88,52392,0
29,15:48:28,6/11/21,13754,122,8,7.21,21.77,102458.7,52394,0
30,15:48:29,6/11/21,14558,427,8,12.32,21.77,102458.03,54327,0
31,15:48:31,6/11/21,16007,157,8,8.21,21.77,102458.03,52389,0
32,15:48:31,6/11/21,16266,719,14,16.35,21.77,102458.03,1848,0
33,15:48:31,6/11/21,16349,941,141,37.8,21.77,102458.03,1850,0
34,15:48:31,6/11/21,16371,428,9,12.4,21.77,102458.03,1850,0
35,15:48:31,6/11/21,16783,93,8,6.42,21.77,102458.03,52390,0
36,15:48:32,6/11/21,17870,458,9,12.62,21.77,102458.38,52390,0
37,15:48:33,6/11/21,18141,815,54,22.93,21.77,102458.38,3798,0
38,15:48:33,6/11/21,18335,89,8,6.32,21.77,102458.38,1857,0
39,15:48:33,6/11/21,18786,167,9,8.49,21.77,102458.38,52393,0
40,15:48:34,6/11/21,19935,437,9,12.47,21.77,102458.53,52394,0
41,15:48:35,6/11/21,20202,252,9,10.35,21.77,102458.53,2595,0
42,15:48:36,6/11/21,21314,552,9,13.43,21.77,102458.7,52393,0
43,15:48:36,6/11/21,21367,416,9,12.31,21.77,102458.7,1849,0
44,15:48:36,6/11/21,21747,157,9,8.22,21.77,102458.7,52393,0
45,15:48:37,6/11/21,22801,372,9,11.93,21.77,102459.04,54473,0
46,15:48:38,6/11/21,23286,368,9,11.89,21.77,102458.88,1852,0
47,15:48:38,6/11/21,23867,103,9,6.67,21.77,102458.88,52403,0
48,15:48:40,6/11/21,25049,930,139,37.45,21.77,102459.04,52400,0
49,15:48:41,6/11/21,26841,145,8,7.87,21.77,102459.2,102939,0
50,15:48:42,6/11/21,27048,422,8,12.29,21.77,102459.2,1847,0
51,15:48:42,6/11/21,27318,519,8,12.98,21.77,102459.2,1848,0
52,15:48:42,6/11/21,27588,931,133,36.38,21.77,102459.2,54385,0
53,15:48:43,6/11/21,28441,542,9,13.32,21.77,102459.2,1848,0
54,15:48:43,6/11/21,28929,535,9,13.24,21.77,102459.55,52394,0
55,15:48:44,6/11/21,29317,911,113,32.54,21.77,102459.88,1852,1
56,15:48:46,6/11/21,31787,116,8,7.03,21.77,102460.38,153487,0
57,15:48:47,6/11/21,32694,891,95,29.02,21.77,102460.38,53143,0
58,15:48:48,6/11/21,33952,948,153,39.76,21.77,102460.55,52403,0
59,15:48:49,6/11/21,34030,113,8,6.95,21.77,102460.55,3933,0
60,15:48:49,6/11/21,34135,919,120,33.92,21.77,102460.55,1848,0
61,15:48:49,6/11/21,34627,408,8,12.18,21.77,102460.71,52393,0
62,15:48:50,6/11/21,35207,696,12,15.65,21.77,102460.55,1846,0
63,15:48:50,6/11/21,35305,589,9,13.88,21.77,102460.55,1848,0
64,15:48:50,6/11/21,35308,113,8,6.95,21.77,102460.55,1848,0
65,15:48:50,6/11/21,35921,972,368,69.09,21.77,102460.71,52392,0
66,15:48:51,6/11/21,36990,914,119,33.72,21.77,102460.71,54335,0
67,15:48:52,6/11/21,37807,771,27,19.68,21.77,102460.88,52397,0
68,15:48:53,6/11/21,38227,124,8,7.27,21.77,102460.71,1850,0
69,15:48:55,6/11/21,40597,962,203,45.71,21.77,102460.55,153483,0
70,15:48:55,6/11/21,40933,464,9,12.66,21.77,102460.71,2595,0
71,15:48:56,6/11/21,41930,373,8,11.89,21.77,102460.71,52392,0
72,15:48:56,6/11/21,41933,946,143,38.14,21.77,102460.71,1848,0
73,15:48:57,6/11/21,42255,921,132,36.19,21.77,102460.71,3931,0
74,15:48:57,6/11/21,42937,67,8,5.94,21.77,102460.55,52393,0
75,15:48:58,6/11/21,43226,160,9,8.3,21.77,102460.55,1846,0
76,15:48:59,6/11/21,44553,529,9,13.18,21.77,102460.21,102932,0
77,15:49:00,6/11/21,45050,585,9,13.83,21.77,102460.21,1850,0
78,15:49:01,6/11/21,46500,204,9,9.4,21.77,102460.05,52395,0
79,15:49:01,6/11/21,46595,618,9,14.24,21.77,102460.05,52413,0
80,15:49:01,6/11/21,46719,764,24,19.09,21.77,102460.05,3790,0
81,15:49:03,6/11/21,48614,591,9,13.91,21.77,102460.29,102934,0
82,15:49:04,6/11/21,49309,948,151,39.45,21.77,102459.95,1850,0
83,15:49:04,6/11/21,49840,443,8,12.43,21.77,102459.79,52394,0
84,15:49:04,6/11/21,49943,160,7,8.29,21.77,102459.79,2591,0
85,15:49:05,6/11/21,50864,643,9,14.48,21.77,102459.62,52395,0
86,15:49:07,6/11/21,52899,797,39,21.38,21.78,102460.17,102942,0
87,15:49:08,6/11/21,53095,772,27,19.68,21.78,102460.17,3932,0
88,15:49:08,6/11/21,53798,520,9,13.1,21.78,102460.17,52395,0
89,15:49:11,6/11/21,56552,96,8,6.49,21.78,102460.05,153478,0
90,15:49:11,6/11/21,56939,584,9,13.82,21.78,102459.88,1847,0
91,15:49:13,6/11/21,58254,934,139,37.45,21.78,102459.71,52392,1
92,15:49:13,6/11/21,58285,132,8,7.5,21.78,102459.71,1850,0
93,15:49:13,6/11/21,58370,603,9,14.06,21.78,102459.71,1845,0
94,15:49:14,6/11/21,59026,948,148,38.97,21.78,102459.55,54332,1
95,15:49:14,6/11/21,59982,905,107,31.35,21.78,102459.95,52395,1
96,15:49:15,6/11/21,60637,682,12,15.6,21.78,102459.95,53134,0
97,15:49:16,6/11/21,61589,845,67,24.46,21.78,102459.45,52389,0
98,15:49:16,6/11/21,61988,774,26,19.5,21.78,102459.88,1854,0
99,15:49:18,6/11/21,63412,61,8,5.9,21.78,102459.37,52396,0
100,15:49:19,6/11/21,64452,117,8,7.06,21.79,102459.44,52391,0
101,15:49:19,6/11/21,64667,151,8,8.05,21.79,102459.44,54472,0
102,15:49:21,6/11/21,66004,833,66,24.31,21.79,102459.28,52389,0
103,15:49:21,6/11/21,66300,981,655,117.52,21.79,102459.28,1850,0
104,15:49:21,6/11/21,66570,748,20,18.15,21.79,102459.28,52392,0
105,15:49:21,6/11/21,66635,981,577,99.82,21.79,102459.28,1849,0
106,15:49:22,6/11/21,67287,962,216,46.92,21.79,102459.52,1849,0
107,15:49:23,6/11/21,68389,119,8,7.12,21.79,102459.94,52390,0
108,15:49:24,6/11/21,69153,967,389,72.61,21.79,102459.94,54332,0
109,15:49:24,6/11/21,69962,163,7,8.37,21.79,102460.16,52394,0
110,15:49:25,6/11/21,70248,910,111,32.15,21.79,102459.98,2593,1
111,15:49:25,6/11/21,70277,97,8,6.52,21.79,102459.98,1850,0
112,15:49:26,6/11/21,71364,961,307,58.22,21.79,102459.65,52388,0
113,15:49:27,6/11/21,72978,625,9,14.32,21.8,102459.72,102930,0
114,15:49:28,6/11/21,73577,159,8,8.27,21.8,102459.97,54473,0
115,15:49:28,6/11/21,73669,100,8,6.59,21.8,102459.97,1847,0
116,15:49:31,6/11/21,76829,609,9,14.14,21.8,102459.29,153472,0
117,15:49:32,6/11/21,77715,925,128,35.45,21.8,102458.95,52392,0
118,15:49:33,6/11/21,78631,974,545,93.6,21.81,102459.03,52392,0
119,15:49:33,6/11/21,78668,289,8,10.91,21.81,102459.03,1850,0
120,15:49:35,6/11/21,80276,168,8,8.51,21.81,102459.25,52391,0
121,15:49:35,6/11/21,80889,864,76,25.74,21.81,102459.08,55266,0
122,15:49:37,6/11/21,82029,740,19,17.87,21.81,102459.33,52390,0
123,15:49:37,6/11/21,82605,122,8,7.21,21.81,102459.33,52393,0
124,15:49:37,6/11/21,82878,971,349,65.7,21.81,102459.73,1846,1
125,15:49:38,6/11/21,83005,152,8,8.07,21.81,102459.73,1850,0
126,15:49:38,6/11/21,83249,834,63,23.95,21.81,102459.73,1848,0
127,15:49:38,6/11/21,83787,889,88,27.76,21.81,102459.57,52389,1
128,15:49:39,6/11/21,84692,966,340,64.06,21.81,102459.57,54331,0
129,15:49:40,6/11/21,85569,76,8,6.07,21.82,102459.81,52390,0
130,15:49:40,6/11/21,85829,751,21,18.4,21.82,102459.98,1847,0
131,15:49:41,6/11/21,86912,957,201,45.52,21.82,102460.2,52391,1
132,15:49:42,6/11/21,87232,179,8,8.8,21.82,102460.03,1850,0
133,15:49:42,6/11/21,87322,910,107,31.36,21.82,102460.03,1848,0
134,15:49:42,6/11/21,87355,966,230,48.22,21.82,102460.03,1849,0
135,15:49:42,6/11/21,87582,796,37,21.15,21.82,102460.03,54333,0
136,15:49:43,6/11/21,88581,847,73,25.27,21.82,102460.28,52393,0
137,15:49:43,6/11/21,88775,519,8,12.98,21.82,102460.11,1850,0
138,15:49:44,6/11/21,89328,563,8,13.41,21.82,102460.52,1845,0
139,15:49:44,6/11/21,89473,934,137,37.1,21.82,102460.52,1847,0
140,15:49:44,6/11/21,89771,533,9,13.22,21.82,102460.35,52395,0
141,15:49:44,6/11/21,89825,102,8,6.65,21.82,102460.35,2593,0
142,15:49:45,6/11/21,90080,100,8,6.59,21.82,102460.35,3983,0
143,15:49:45,6/11/21,90604,900,100,29.99,21.82,102460.35,52390,0
144,15:49:45,6/11/21,90888,914,115,32.94,21.83,102460.41,1849,0
145,15:49:46,6/11/21,91161,260,8,10.46,21.83,102460.23,1849,0
146,15:49:47,6/11/21,92441,316,9,11.31,21.83,102460.48,52389,0
147,15:49:47,6/11/21,92676,798,40,21.49,21.83,102460.48,52395,0
148,15:49:48,6/11/21,93375,402,9,12.2,21.83,102460.89,1849,0
149,15:49:49,6/11/21,94161,88,8,6.3,21.83,102460.97,54333,0
150,15:49:50,6/11/21,95047,956,181,43.46,21.84,102461.22,52390,0
151,15:49:50,6/11/21,95385,558,9,13.5,21.84,102461.22,1850,0
152,15:49:50,6/11/21,95753,317,8,11.28,21.84,102461.05,52390,0
153,15:49:50,6/11/21,95927,87,8,6.28,21.84,102461.05,1847,0
154,15:49:51,6/11/21,96003,136,8,7.62,21.84,102461.05,1846,0
155,15:49:51,6/11/21,96122,605,9,14.09,21.84,102461.05,1847,0
156,15:49:52,6/11/21,97221,130,8,7.44,21.84,102461.3,54334,0
157,15:49:52,6/11/21,97237,918,119,33.72,21.84,102461.3,1848,1
158,15:49:52,6/11/21,97469,73,9,6.02,21.84,102461.12,1852,0
159,15:49:52,6/11/21,97679,659,9,14.56,21.84,102461.12,52396,0
160,15:49:52,6/11/21,97734,973,391,72.94,21.84,102461.12,1856,0
161,15:49:53,6/11/21,98673,151,8,8.05,21.84,102461.01,52394,0
162,15:49:53,6/11/21,98929,874,83,26.87,21.84,102460.67,1848,0
163,15:49:53,6/11/21,98964,245,8,10.2,21.84,102460.67,3790,0
164,15:49:56,6/11/21,101301,953,162,41.08,21.85,102460.48,102932,0
165,15:49:58,6/11/21,103890,833,65,24.18,21.85,102460.39,154221,0
166,15:49:59,6/11/21,104027,140,8,7.73,21.85,102460.39,1851,0
167,15:50:00,6/11/21,105099,427,9,12.39,21.86,102460.14,52390,0
168,15:50:00,6/11/21,105125,70,9,5.98,21.86,102460.14,1850,0
169,15:50:00,6/11/21,105196,95,8,6.47,21.86,102460.14,1848,0
170,15:50:00,6/11/21,105362,920,122,34.3,21.86,102459.8,3929,1
171,15:50:00,6/11/21,105436,968,261,51.52,21.86,102459.8,1849,0
172,15:50:00,6/11/21,105916,205,8,9.41,21.86,102459.8,52392,0
173,15:50:01,6/11/21,106057,139,8,7.7,21.86,102459.8,1846,0
174,15:50:01,6/11/21,106778,589,9,13.88,21.86,102459.65,52389,0
175,15:50:02,6/11/21,107306,976,570,98.29,21.86,102459.89,1848,0
176,15:50:03,6/11/21,108038,238,8,10.08,21.86,102459.72,52393,0
177,15:50:03,6/11/21,108274,811,50,22.52,21.86,102459.8,3788,0
178,15:50:03,6/11/21,108711,660,10,14.87,21.86,102459.47,52393,0
179,15:50:04,6/11/21,109811,184,8,8.92,21.87,102459.71,52393,0
180,15:50:05,6/11/21,110047,688,10,14.94,21.87,102459.71,2592,0
181,15:50:05,6/11/21,110617,223,8,9.79,21.87,102459.71,52394,0
182,15:50:05,6/11/21,110861,153,8,8.1,21.87,102459.95,1845,0
183,15:50:08,6/11/21,113272,127,8,7.35,21.87,102460.08,102929,0
184,15:50:08,6/11/21,113673,661,10,14.88,21.87,102459.75,54476,0
185,15:50:08,6/11/21,113826,204,8,9.39,21.87,102459.75,1849,0
186,15:50:09,6/11/21,114212,603,9,14.06,21.88,102460,1846,0
187,15:50:10,6/11/21,115336,146,8,7.9,21.88,102459.91,52390,0
188,15:50:11,6/11/21,116136,799,45,22,21.88,102459.65,52391,0
189,15:50:11,6/11/21,116453,225,8,9.83,21.88,102459.65,1849,0
190,15:50:11,6/11/21,116471,610,10,14.35,21.88,102459.65,3787,0
191,15:50:12,6/11/21,117214,954,187,44.12,21.88,102459.72,52392,0
192,15:50:12,6/11/21,117352,87,8,6.28,21.88,102459.72,1850,0
193,15:50:12,6/11/21,117426,903,101,30.19,21.88,102459.72,1846,1
194,15:50:13,6/11/21,118328,183,8,8.9,21.89,102459.64,52391,0
195,15:50:13,6/11/21,118755,928,134,36.56,21.89,102459.47,52391,0
196,15:50:14,6/11/21,119762,674,11,15.25,21.89,102459.38,52398,0
197,15:50:14,6/11/21,119825,965,192,44.64,21.89,102459.38,4751,0
198,15:50:15,6/11/21,120299,460,9,12.63,21.89,102459.26,1852,0
199,15:50:15,6/11/21,120583,110,8,6.86,21.89,102458.75,52393,0
200,15:50:16,6/11/21,121311,598,9,14,21.89,102458.42,1847,0
201,15:50:16,6/11/21,121733,785,32,20.49,21.89,102458.63,52392,0
202,15:50:17,6/11/21,122053,98,2,6.53,21.89,102458.3,1847,0
203,15:50:18,6/11/21,123962,88,7,6.3,21.9,102458.12,102935,0
204,15:50:19,6/11/21,124759,451,9,12.57,21.9,102458.37,54359,0
205,15:50:19,6/11/21,124959,901,100,29.99,21.9,102458.03,1850,1
206,15:50:20,6/11/21,125574,259,9,10.47,21.9,102458.44,52393,0
207,15:50:22,6/11/21,127313,674,11,15.25,21.91,102457.39,52392,0
208,15:50:22,6/11/21,127801,224,8,9.81,21.91,102457.64,52390,0
209,15:50:22,6/11/21,127897,697,13,15.98,21.91,102457.64,1847,0
210,15:50:23,6/11/21,128189,449,9,12.55,21.91,102457.64,1849,0
211,15:50:23,6/11/21,128431,805,42,21.71,21.91,102457.3,3811,0
212,15:50:23,6/11/21,128627,74,8,6.03,21.91,102457.3,52393,0
213,15:50:24,6/11/21,129806,644,9,14.48,21.92,102456.95,52389,0
214,15:50:24,6/11/21,129850,135,8,7.59,21.92,102456.95,2594,0
215,15:50:25,6/11/21,130008,146,8,7.9,21.92,102456.95,1846,0
216,15:50:25,6/11/21,130118,971,297,56.58,21.92,102456.95,1848,1
217,15:50:25,6/11/21,130480,739,19,17.87,21.92,102456.62,1851,0
218,15:50:25,6/11/21,130613,195,8,9.18,21.92,102456.62,54502,0
219,15:50:26,6/11/21,131572,226,8,9.85,21.92,102456.37,52393,0
220,15:50:26,6/11/21,131690,131,8,7.47,21.92,102456.44,1847,0
221,15:50:26,6/11/21,131746,968,278,53.73,21.92,102456.44,1846,0
222,15:50:27,6/11/21,132136,126,8,7.32,21.92,102456.11,1848,0
223,15:50:28,6/11/21,133409,698,12,15.65,21.93,102456.06,52391,0
224,15:50:31,6/11/21,136600,667,10,14.91,21.93,102455.43,204020,0
225,15:50:32,6/11/21,137361,678,11,15.27,21.94,102455.51,3812,0
226,15:50:32,6/11/21,137496,981,617,108.76,21.94,102455.72,1851,1
227,15:50:33,6/11/21,138205,145,8,7.87,21.94,102455.55,52390,0
228,15:50:34,6/11/21,139974,89,8,6.32,21.94,102456.21,102935,0
229,15:50:35,6/11/21,140292,729,17,17.29,21.94,102456.21,2831,0
230,15:50:35,6/11/21,140317,750,20,18.15,21.94,102456.21,1850,0
231,15:50:35,6/11/21,140603,975,395,73.57,21.95,102456.45,52394,1
232,15:50:36,6/11/21,141079,926,139,37.45,21.95,102456.29,3951,1
233,15:50:36,6/11/21,141303,160,7,8.29,21.95,102456.29,1851,0
234,15:50:37,6/11/21,142574,918,126,35.07,21.95,102456.28,102934,1
235,15:50:38,6/11/21,143053,389,8,12.03,21.95,102455.78,1852,0
236,15:50:38,6/11/21,143260,576,9,13.72,21.95,102455.78,1848,0
237,15:50:38,6/11/21,143326,64,8,5.92,21.95,102455.78,1849,0
238,15:50:38,6/11/21,143714,566,9,13.59,21.95,102455.86,54348,0
239,15:50:38,6/11/21,143738,268,8,10.59,21.95,102455.86,1848,0
240,15:50:40,6/11/21,145157,949,150,39.29,21.96,102455.64,52391,0
241,15:50:40,6/11/21,145432,569,9,13.63,21.96,102455.31,1851,0
242,15:50:40,6/11/21,145628,82,8,6.17,21.96,102455.31,52390,0
243,15:50:41,6/11/21,146836,83,8,6.19,21.96,102454.8,52387,0
244,15:50:42,6/11/21,147038,73,7,6.02,21.96,102454.8,1848,0
245,15:50:42,6/11/21,147455,635,9,14.41,21.96,102454.29,3813,0
246,15:50:43,6/11/21,148579,954,174,42.64,21.97,102454.03,102931,0
247,15:50:44,6/11/21,149115,917,124,34.68,21.97,102454.11,1851,0
248,15:50:44,6/11/21,149211,76,8,6.07,21.97,102454.02,1850,0
249,15:50:45,6/11/21,150044,919,126,35.07,21.97,102453.86,52390,1
250,15:50:45,6/11/21,150266,134,8,7.56,21.97,102453.69,2833,0
251,15:50:45,6/11/21,150376,971,306,58.05,21.97,102453.69,1847,0
252,15:50:45,6/11/21,150567,907,109,31.75,21.97,102453.69,54495,1
253,15:50:45,6/11/21,150681,520,9,13.1,21.97,102453.7,1849,0
254,15:50:45,6/11/21,150738,966,245,49.71,21.97,102453.7,1849,0
255,15:50:45,6/11/21,150795,121,8,7.18,21.97,102453.7,1849,0
256,15:50:46,6/11/21,151153,122,8,7.21,21.98,102453.78,1846,0
257,15:50:47,6/11/21,152226,922,127,35.26,21.98,102453.69,52390,1
258,15:50:47,6/11/21,152268,983,600,104.86,21.98,102453.69,1851,0
259,15:50:48,6/11/21,153317,129,8,7.41,21.98,102453.6,54355,0
260,15:50:49,6/11/21,154961,313,9,11.27,21.99,102453.42,102936,0
261,15:50:50,6/11/21,155127,610,8,13.94,21.99,102453.25,1849,0
262,15:50:50,6/11/21,155560,736,18,17.59,21.99,102453.3,52393,0
263,15:50:50,6/11/21,155938,170,8,8.56,21.99,102453.3,1849,0
264,15:50:50,6/11/21,155974,936,140,37.63,21.99,102453.3,1846,1
265,15:50:53,6/11/21,158305,648,10,14.79,22,102453.28,102938,0
266,15:50:54,6/11/21,159058,168,8,8.51,22,102453.6,54410,0
267,15:50:54,6/11/21,159498,929,138,37.28,22,102453.43,1848,0
268,15:50:55,6/11/21,160851,961,272,52.91,22.01,102453.69,102942,0
269,15:50:56,6/11/21,161588,198,8,9.25,22.01,102453.94,53376,0
270,15:50:56,6/11/21,161800,887,90,28.11,22.01,102453.94,1848,0
271,15:50:57,6/11/21,162335,701,13,15.99,22.01,102454.02,1849,0
272,15:50:57,6/11/21,162834,939,142,37.97,22.01,102453.85,52394,1
273,15:50:59,6/11/21,164377,541,9,13.31,22.02,102454.05,54499,0
274,15:51:00,6/11/21,165177,968,425,77.87,22.02,102454.3,52395,0
275,15:51:00,6/11/21,165781,202,8,9.34,22.03,102454.54,52394,0
276,15:51:00,6/11/21,165856,178,8,8.77,22.03,102454.54,1846,0
277,15:51:01,6/11/21,166360,878,91,28.25,22.03,102454.2,1847,1
278,15:51:01,6/11/21,166769,981,613,107.93,22.03,102454.28,52395,0
279,15:51:01,6/11/21,166932,150,8,8.02,22.03,102454.28,3812,0
280,15:51:01,6/11/21,166974,640,9,14.45,22.03,102454.28,1845,0
281,15:51:02,6/11/21,167033,439,9,12.48,22.03,102454.28,1849,0
282,15:51:02,6/11/21,167345,836,67,24.44,22.03,102454.53,1851,0
283,15:51:02,6/11/21,167365,96,8,6.49,22.03,102454.53,1848,0
284,15:51:02,6/11/21,167423,778,29,20.03,22.03,102454.53,1847,0
285,15:51:03,6/11/21,168004,93,8,6.42,22.03,102454.61,52394,0
286,15:51:04,6/11/21,169014,959,199,45.33,22.04,102454.52,54355,0
287,15:51:04,6/11/21,169053,406,8,12.17,22.04,102454.52,1851,0
288,15:51:04,6/11/21,169591,667,11,15.21,22.04,102454.18,52392,0
289,15:51:05,6/11/21,170862,799,45,22,22.04,102453.8,53376,0
290,15:51:06,6/11/21,171057,957,205,45.9,22.04,102453.8,1851,0
291,15:51:07,6/11/21,172382,435,8,12.38,22.05,102453.59,52396,0
292,15:51:07,6/11/21,172604,639,9,14.45,22.05,102453.59,52394,0
293,15:51:09,6/11/21,174846,853,75,25.57,22.05,102452.95,105045,0
294,15:51:09,6/11/21,174914,820,52,22.73,22.05,102452.95,1851,0
295,15:51:10,6/11/21,175117,63,8,5.91,22.06,102453.2,1848,0
296,15:51:10,6/11/21,175237,972,329,62.07,22.06,102453.2,1847,0
297,15:51:12,6/11/21,177365,372,8,11.88,22.06,102452.69,102941,0
298,15:51:12,6/11/21,177654,206,9,9.44,22.06,102452.59,52394,0
299,15:51:13,6/11/21,178170,820,61,23.68,22.07,102452.67,1849,0
300,15:51:14,6/11/21,179043,63,8,5.91,22.07,102452.42,54412,0
301,15:51:14,6/11/21,179410,699,13,15.98,22.07,102452.42,1848,0
302,15:51:14,6/11/21,179605,318,8,11.29,22.07,102452.47,52392,0
303,15:51:15,6/11/21,180342,69,8,5.97,22.07,102451.97,2828,0
304,15:51:15,6/11/21,180655,701,13,15.99,22.07,102451.88,52396,0
305,15:51:15,6/11/21,180757,724,15,16.68,22.07,102451.88,1857,0
306,15:51:17,6/11/21,182375,971,475,83.85,22.08,102451.7,52398,0
307,15:51:17,6/11/21,182559,577,9,13.73,22.08,102451.7,54498,0
308,15:51:17,6/11/21,182636,82,8,6.17,22.08,102451.7,1847,0
309,15:51:18,6/11/21,183111,954,161,40.94,22.08,102451.94,1846,0
310,15:51:18,6/11/21,183954,188,8,9.02,22.08,102451.65,52395,0
311,15:51:18,6/11/21,183992,168,8,8.51,22.08,102451.65,1846,0
312,15:51:19,6/11/21,184120,886,92,28.46,22.08,102451.65,1846,0
313,15:51:19,6/11/21,184263,657,10,14.85,22.08,102451.65,1850,0
314,15:51:19,6/11/21,184628,652,10,14.82,22.08,102451.31,54355,0
315,15:51:20,6/11/21,185741,973,439,79.63,22.09,102451.02,52394,0
316,15:51:21,6/11/21,186051,205,8,9.41,22.09,102451.27,1849,0
317,15:51:23,6/11/21,187999,950,152,39.6,22.09,102451.26,102939,0
318,15:51:23,6/11/21,188073,307,8,11.15,22.09,102451.26,1853,0
319,15:51:23,6/11/21,188396,738,17,17.31,22.1,102451.34,1846,0
320,15:51:23,6/11/21,188739,369,8,11.85,22.1,102451.58,54356,0
321,15:51:23,6/11/21,188961,727,16,17,22.1,102451.58,1847,0
322,15:51:24,6/11/21,189296,694,12,15.64,22.1,102451.41,1847,0
323,15:51:24,6/11/21,189424,957,156,40.21,22.1,102451.41,1850,0
324,15:51:25,6/11/21,190334,87,8,6.28,22.1,102451.49,52397,0
325,15:51:26,6/11/21,191614,937,142,37.97,22.11,102451.78,103924,0
326,15:51:26,6/11/21,191699,157,8,8.21,22.11,102451.86,1850,0
327,15:51:26,6/11/21,191736,519,9,13.09,22.11,102451.86,3949,0
328,15:51:27,6/11/21,192415,914,121,34.1,22.11,102451.86,1849,0
329,15:51:28,6/11/21,193830,165,8,8.43,22.11,102451.69,102940,0
330,15:51:28,6/11/21,193835,804,45,22.01,22.11,102451.69,1849,0
331,15:51:29,6/11/21,194048,933,137,37.1,22.11,102451.69,1849,1
332,15:51:30,6/11/21,195117,656,10,14.85,22.12,102452.39,52398,0
333,15:51:30,6/11/21,195235,125,8,7.29,22.12,102452.39,1850,0
334,15:51:30,6/11/21,195386,932,140,37.63,22.12,102452.39,3864,0
335,15:51:30,6/11/21,195656,117,8,7.06,22.12,102452.22,52394,0
336,15:51:30,6/11/21,195874,407,9,12.24,22.12,102452.22,1847,0
337,15:51:30,6/11/21,195918,885,80,26.42,22.12,102452.22,1848,0
338,15:51:33,6/11/21,198227,906,110,31.94,22.13,102452.33,102941,0
339,15:51:34,6/11/21,199038,564,9,13.57,22.13,102452.24,52398,0
340,15:51:34,6/11/21,199098,828,64,24.05,22.13,102452.24,1850,1
341,15:51:34,6/11/21,199112,710,13,16.01,22.13,102452.24,3810,0
342,15:51:34,6/11/21,199158,916,115,32.94,22.13,102452.24,1849,0
343,15:51:34,6/11/21,199198,910,114,32.73,22.13,102452.24,1849,1
344,15:51:34,6/11/21,199318,896,97,29.41,22.13,102452.24,1849,0
345,15:51:34,6/11/21,199852,969,293,55.95,22.14,102452.28,52396,0
346,15:51:35,6/11/21,200044,635,9,14.41,22.14,102452.53,2830,0
347,15:51:35,6/11/21,200121,111,8,6.89,22.14,102452.53,1850,0
348,15:51:35,6/11/21,200357,811,58,23.33,22.14,102452.53,3949,0
349,15:51:35,6/11/21,200494,707,13,16,22.14,102452.95,1849,0
350,15:51:35,6/11/21,200681,460,8,12.55,22.14,102452.95,52396,0
351,15:51:35,6/11/21,200908,956,156,40.21,22.14,102452.95,1847,0
352,15:51:37,6/11/21,202237,415,8,12.24,22.14,102452.69,52396,0
353,15:51:37,6/11/21,202569,905,104,30.77,22.15,102452.94,52395,0
354,15:51:37,6/11/21,202641,773,27,19.68,22.15,102452.94,3813,0
355,15:51:37,6/11/21,202791,969,302,57.39,22.15,102452.94,1848,0
356,15:51:38,6/11/21,203500,203,7,9.35,22.15,102452.84,1849,0
357,15:51:39,6/11/21,204581,963,320,60.46,22.15,102452.72,102960,0
